"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","503.0","12317,99","A","15,68"
"8,1","5X5 BRANCA","3320.0","12317,48","A","15,68"
"54","BATISMO DOURADA","3870.0","8431,45","A","10,73"
"9,1","30X7 BRANCA","201.0","6946,95","A","8,84"
"82,1","7X5 BRANCA","1057.0","5227,32","A","6,65"
"10,1","15X5 VOTIVA BRANCA","516.0","4842,34","A","6,16"
"32","PRIMEIRA COMUNHAO DOURADA","1900.0","4090,42","A","5,21"
"107","CRISMA DOURADA","1815.0","3983,59","A","5,07"
"14,1","CIRIO 40X2,7 BRANCA","367.0","3610,85","A","4,6"
"48,1","25X7 BRANCA","75.0","2370,29","B","3,02"
"70,1","PALITO C/100 BRANCA","4800.0","2364,0","B","3,01"
"23,1","30X8 BRANCA","50.0","2311,1","B","2,94"
"163,1","CIRIO 35X2,7 BRANCA","320.0","1979,04","B","2,52"
"9,2","30X7 AMARELA","36.0","1142,52","B","1,45"
"42,1","15X7 BRANCA","64.0","1026,34","B","1,31"
"116,1","15X5 DEVOCIONAL SÃO MIGUEL","90.0","944,81","B","1,2"
"24,2","20X7 AMARELA","36.0","804,79","C","1,02"
"21,1","10X7 BRANCA","62.0","685,24","C","0,87"
"23,2","30X8 AMARELA","14.0","628,27","C","0,8"
"160,1","40X7 BRANCA","6.0","424,76","C","0,54"
"15,1","20X8 BRANCA","12.0","312,35","C","0,4"
"210,1","10X5 BRANCA","50.0","306,88","C","0,39"
"17","LIBRA C/10","5.0","278,07","C","0,35"
"10,2","15X5 7 DIAS BRANCA","20.0","170,94","C","0,22"
"10,3","15X5 VOTIVA AMARELA","20.0","170,94","C","0,22"
"14,2","CIRIO 40X2,7 AMARELA","24.0","163,92","C","0,21"
"160,2","40X7 AMARELA","2.0","141,59","C","0,18"
"29,1","CIRIO 30X2,7 BRANCA","24.0","128,76","C","0,16"
"69","LITÚRGICA C/10","1.0","104,11","C","0,13"
"116,3","15X5 DEVOCIONAL N SENHORA APARECIDA","10.0","97,4","C","0,12"
"116,2","15X5 DEVOCIONAL SAGRADA FAMÍLIA","10.0","97,4","C","0,12"
"166,1","CIRIO 10X2,7 BRANCA","32.0","56,11","C","0,07"
"116,5","15X5 DEVOCIONAL N SRA DO CARMO","4.0","38,96","C","0,05"
"49,1","3X5 BRANCA","10.0","27,6","C","0,04"
"81,1","RECHAUD  ","21.0","25,0","C","0,03"
"","Total vendido","","","","78569,58"
