"código","nome","numero de vendas","valor vendido","ABC","ABC %"
"24,1","20X7 BRANCA","844.0","16857,82","A","13,74"
"9,1","30X7 BRANCA","339.0","10380,56","A","8,46"
"54","BATISMO DOURADA","4400.0","8194,31","A","6,68"
"32","PRIMEIRA COMUNHAO DOURADA","3540.0","6330,76","A","5,16"
"107","CRISMA DOURADA","3620.0","5928,48","A","4,83"
"42,1","15X7 BRANCA","373.0","5210,73","A","4,25"
"48,1","25X7 BRANCA","186.0","4995,24","A","4,07"
"163,1","CIRIO 35X2,7 BRANCA","555.0","3593,18","A","2,93"
"14,1","CIRIO 40X2,7 BRANCA","492.0","3569,08","A","2,91"
"23,1","30X8 BRANCA","88.0","3528,7","A","2,88"
"10,1","15X5 VOTIVA BRANCA","455.0","3342,21","A","2,72"
"9,2","30X7 AMARELA","119.0","3308,59","A","2,7"
"101,1","25X8 BRANCA","107.0","3109,0","A","2,53"
"24,2","20X7 AMARELA","129.0","2698,05","A","2,2"
"24,5","20X7 ROSA","132.0","2506,26","A","2,04"
"24,3","20X7 ROXA","128.0","2485,77","A","2,03"
"24,6","20X7 VERDE","123.0","2335,69","A","1,9"
"42,2","15X7 AMARELA","135.0","2217,73","A","1,81"
"8,1","5X5 BRANCA","660.0","1991,0","A","1,62"
"15,1","20X8 BRANCA","80.0","1925,59","A","1,57"
"101,2","25X8 AMARELA","64.0","1715,12","A","1,4"
"42,3","15X7 ROXA","119.0","1664,69","A","1,36"
"14,2","CIRIO 40X2,7 AMARELA","232.0","1621,2","B","1,32"
"42,5","15X7 ROSA","98.0","1367,72","B","1,11"
"50","SACRAMENTO LISA","862.0","1314,42","B","1,07"
"9,3","30X7 ROXA","45.0","1302,64","B","1,06"
"42,6","15X7 VERDE","91.0","1281,65","B","1,04"
"82,1","7X5 BRANCA","260.0","1134,04","B","0,92"
"42,4","15X7 VERMELHA","73.0","1002,42","B","0,82"
"23,2","30X8 AMARELA","29.0","958,03","B","0,78"
"48,2","25X7 AMARELA","40.0","952,33","B","0,78"
"29,1","CIRIO 30X2,7 BRANCA","179.0","908,63","B","0,74"
"24,4","20X7 VERMELHA","37.0","781,64","B","0,64"
"17","LIBRA C/10","17.0","746,3","B","0,61"
"70,1","PALITO C/100 BRANCA","18.0","721,44","B","0,59"
"160,1","40X7 BRANCA","20.0","683,2","B","0,56"
"216,2","40x3,5 AMARELA","77.0","661,43","B","0,54"
"21,1","10X7 BRANCA","69.0","614,07","B","0,5"
"165,1","CIRIO 20X2,7 BRANCA","136.0","598,0","B","0,49"
"157,2","40X8 AMARELA","8.0","592,27","B","0,48"
"48,3","25X7 ROXA","21.0","572,73","B","0,47"
"29,2","CIRIO 30X2,7 AMARELA","100.0","505,0","B","0,41"
"216,1","40x3,5 BRANCA","30.0","500,7","C","0,41"
"82,3","7X5 ROXA","104.0","443,16","C","0,36"
"10,5","15X5 VOTIVA ROXA","53.0","374,75","C","0,31"
"49,1","3X5 BRANCA","132.0","332,66","C","0,27"
"21,3","10X7 ROXA","37.0","330,23","C","0,27"
"10,3","15X5 VOTIVA AMARELA","45.0","316,35","C","0,26"
"9,5","30X7 ROSA","9.0","277,6","C","0,23"
"21,6","10X7 ROSA","29.0","259,27","C","0,21"
"21,5","10X7 VERDE","29.0","259,27","C","0,21"
"10,9","15X5 VOTIVA ROSA","31.0","217,93","C","0,18"
"103,1","10X8 BRANCA","18.0","217,26","C","0,18"
"21,4","10X7 VERMELHA","24.0","212,88","C","0,17"
"10,2","15X5 7 DIAS BRANCA","30.0","210,9","C","0,17"
"10,11","15X5 VOTIVA VERDE","29.0","206,03","C","0,17"
"167,1","CIRIO 15X2,7 BRANCA","70.0","200,9","C","0,16"
"164,1","CIRIO 25X2,7 BRANCA","44.0","194,52","C","0,16"
"9,6","30X7 VERDE","7.0","185,14","C","0,15"
"48,6","25X7 VERDE","6.0","178,22","C","0,15"
"21,2","10X7 AMARELA","20.0","177,4","C","0,14"
"104,1","15X8 BRANCA","10.0","173,7","C","0,14"
"82,6","7X5 VERDE","30.0","160,92","C","0,13"
"166,1","CIRIO 10X2,7 BRANCA","100.0","160,0","C","0,13"
"48,5","25X7 ROSA","5.0","131,5","C","0,11"
"82,5","7X5 ROSA","28.0","126,21","C","0,1"
"59,3","FLOR P ROXA","28.0","98,0","C","0,08"
"48,4","25X7 VERMELHA","2.0","84,94","C","0,07"
"29,5","CIRIO 30X2,7 ROSA","15.0","75,75","C","0,06"
"29,3","CIRIO 30X2,7 ROXA","15.0","75,75","C","0,06"
"29,6","CIRIO 30X2,7 VERDE","15.0","75,75","C","0,06"
"82,4","7X5 VERMELHA","9.0","62,78","C","0,05"
"82,2","7X5 AMARELA","15.0","55,8","C","0,05"
"9,4","30X7 VERMELHA","2.0","55,74","C","0,05"
"201","CERA DE PALMA VEGETAL","1.0","32,0","C","0,03"
"10,7","15X5 VOTIVA VERMELHA","4.0","30,28","C","0,02"
"","Total vendido","","","","122702,01"
